"Auction","description_name","description_url","description_sale_info","description_BaT_Essentials_1_name","description_BaT_Essentials_2_name","description_BaT_Essentials_3_name","description_BaT_Essentials_4_name","description_BaT_Essentials_5_name","description_BaT_Essentials_6_name","description_BaT_Essentials_7_name","description_BaT_Essentials_8_name","description_BaT_Essentials_9_name","description_BaT_Essentials_10_name","description_BaT_Essentials_11_name","description_BaT_Essentials_12_name","description_BaT_Essentials_13_name","description_BaT_Essentials_14_name","description_BaT_Essentials_15_name","description_BaT_Essentials_16_name","description_BaT_Essentials_17_name","description_BaT_Essentials_18_name","description_BaT_Essentials_19_name","description_BaT_Essentials_20_name","description_BaT_Essentials_21_name","description_BaT_Essentials_22_name","description_BaT_Essentials_23_name","description_BaT_Essentials_24_name","Remove"
"","1991 Jeep Grand Wagoneer","https://bringatrailer.com/listing/1991-jeep-grand-wagoneer-23/","Sold for $22,750 on 3/25/20","Location: Phoenix, Arizona 85013","Chassis: 1J4GS587XMP802487","126k Miles Shown","360ci V8","Three-Speed Automatic Transmission","Two-Speed Transfer Case","Repaint in Metallic Blue","Burgundy Leather Interior","Rebuilt Carburetor","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","1995 Chevrolet Camaro Z/28 Drag Car","https://bringatrailer.com/listing/1995-chevrolet-camaro-z-28-10/","Bid to $32,000 on 3/25/20","Location: Fort Lauderdale, Florida 33312","Chassis: 2G1FP22P9S2164241","Dart Aluminum 434ci V8","TH400 Three-Speed Transmission","PTC Bolt-Together Torque Converter","Induction Solutions Nitrous System","Chassis Engineering Components","Racepak Data Logger","Strange 40-Spline Axles","Fiberglass Body Panels","Adjustable Rear Wing","Lexan Windows","Wheelie Bars","Aerospace Engineering Disc Brakes","Double-Beadlock Wheels w/Mickey Thompson Tires","Patriot Red Paint","Build Records","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","1"
"","1981 Fiat 124 Spider 2000","https://bringatrailer.com/listing/1981-fiat-spider-2000-19/","Bid to $7,500 on 3/25/20","Location: Fort Lauderdale, Florida 33315","Chassis: ZFAAS00B6B8185991","123k Miles Shown","2.0-Liter DOHC Inline-Four","Five-Speed Manual Transmission","Smoke Gray Metallic","Tan Soft Top","Tan Vinyl Interior","Power Windows","MP3 Head Unit","Speedline ""Iron Cross"" Alloy Wheels","Recent Service Receipts","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","11k-Mile 1998 Mercedes-Benz C43 AMG","https://bringatrailer.com/listing/1998-mercedes-benz-c43-amg-13/","Sold for $27,000 on 3/25/20","Location: Clarks Summit, Pennsylvania 18411","Chassis: WDBHA33G0WF699371","11k Miles Shown","4.3-Liter V8","Five-Speed Automatic Transmission","Brilliant Silver Metallic","Black and Gray Leather","10-Way Adjustable/Heated Seats","Electric Sunroof","Xenon Headlights","Bose Sound System with CD Changer","AMG Monoblock Wheels","Service Records From New","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","1975 Volvo C303 TGB 1111","https://bringatrailer.com/listing/1975-volvo-tgb-1111-tank-killer-2/","Sold for $34,975 on 3/25/20","Location: Logan, Utah 84341","Chassis: C034X4005906","300 Miles Shown TMU","3.0-Liter Volvo B30 Inline-Six","4-Speed Manual Gearbox","2-Speed Transfer Case","Locking Differentials","Portal Axles","Repainted in Flat Black","Insulated Vinyl Top","LED Exterior Lighting","Collapsible Roll Cage","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","1968 Plymouth GTX","https://bringatrailer.com/listing/1968-plymouth-gtx-4/","Bid to $35,000 on 3/25/20","Location: Roanoke, Virginia 24016","Chassis: RS23L8A182561","93k Miles Shown","Numbers-Matching 440ci V8","Three-Speed Automatic Transmission","Refinished in Blue over Blue Vinyl","Center Console","Factory AM Radio","Build Sheet","Warranty Card","Partial Refurbishment Receipts","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","No Reserve: 16k-Mile 1997 Chevrolet Corvette 6-Speed","https://bringatrailer.com/listing/1997-chevrolet-corvette-7/","Sold for $14,500 on 3/25/20","Location: Lansing, Michigan 48906","Chassis: 1G1YY22G9V5106628","16k Miles Shown","5.7 Liter LS1 V8","Six-Speed Manual Transaxle","Billy Boat Exhaust","Sebring Silver over Black Leather","Targa Roof Panel","Recent Service","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0 Document Fee","","","","","","","","","","","","","1"
"","4k-Mile 2013 Mini John Cooper Works GP","https://bringatrailer.com/listing/2013-mini-cooper-s-jcw-gp-8/","Sold for $32,500 on 3/25/20","Location: Burlingame, California 94010","Chassis: WMWSU9C5XDT384797","4,300 Miles Shown","Turbocharged 1.6-Liter Four","6-Speed Manual Gearbox","Thunder Gray Metallic w/ Red Accents","#8 of 500 US-Market JCW GP Examples","Black Leather & Ultrasuede Interior","Heated Recaro Bucket Seats","Factory Rear Strut Bar","17"" Wheels","Brembo Brakes","Factory Adjustable Coilover Suspension","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","1989 Porsche 911 Speedster","https://bringatrailer.com/listing/1989-porsche-911-speedster-16/","Bid to $113,000 on 3/25/20","Location: Novato, California 94945","Chassis: WP0EB0915KS173628","41k Miles Shown","3.2-Liter Flat-Six","G50 Five-Speed Manual Transaxle","Limited-Slip Differential","Guards Red over Beige Leather","16"" Fuchs Wheels","Factory CD Player","Window Sticker","Porsche Production Specifications Certificate","Manufacturer's Literature","Stamped Maintenance Booklet","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","No Reserve: 28k-Mile 1994 Mercedes-Benz SL500","https://bringatrailer.com/listing/1994-mercedes-benz-sl500-15/","Sold for $11,250 on 3/25/20","Location: Delavan, Wisconsin 53115","Chassis: WDBFA67E9RF093105","28k Miles Shown","5.0-Liter V8","Four-Speed Automatic Transmission","Pearl Blue Metallic","Gray Leather Interior","Removable Hardtop","Recent Fluid Changes","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","1"
"","D-Code 1965 Ford Mustang Convertible","https://bringatrailer.com/listing/1964-ford-mustang-19/","Bid to $23,250 on 3/25/20","Location: West Harrison, Indiana 47060","Chassis: 5F08D152030","81k Miles Shown, TMU","D-Code 289ci V8","3-Speed Automatic Transmission","Vintage Burgundy w/ Black Soft Top","Black Vinyl Interior","AM Radio","Rally-Style Wheels","Powertrain Rebuilt ~2016","Interior Refreshed ~2016","Exterior Refinished ~2016","Suspension & Brakes Overhauled","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","1"
"","Supercharged 2007 Mercedes-Benz R63 AMG","https://bringatrailer.com/listing/2007-mercedes-benz-r63-27-2/","Bid to $70,000 on 3/25/20","Location: Newport Beach, California 92660","Chassis: 4JGCB77E37A046391","69k Miles Shown","Supercharged M156 6.2L V8","7-Speed Automatic Transmission","All-Wheel Drive","Weistec Engineering Stage 2 Supercharger System","Black over Black","21"" Monoblock-Style Two-Piece Wheels","Brembo Brakes","Suspension Lowering Software","Long Tube Headers","Service Records","Window Sticker","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","35k-Mile 2005 Porsche Boxster 6-Speed","https://bringatrailer.com/listing/2005-porsche-boxster-13/","Sold for $17,775 on 3/25/20","Location: Raleigh, North Carolina 27613","Chassis: WP0CA29855U712891","35k Miles Shown","2.7-Liter Flax-Six","Six-Speed Manual Transaxle","Lapis Blue Metallic","Metropol Blue Convertible Soft Top","Sand Beige Leather","Xenon Headlights","18″ Boxster S Wheels","Sport Package","Porsche Active Suspension Management","Dual-Zone Automatic Climate Control","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","500-Mile 2016 Morgan-3 Wheeler","https://bringatrailer.com/listing/2016-morgan-3-wheeler-4/","Sold for $47,000 on 3/25/20","Location: Miami Beach, Florida 33139","Chassis: SA9M32853GP202089","470 Miles","1,910cc S&S V-Twin","Five-Speed Manual","Imola Silver Metallic","Aubergine Leather","Banjo-Spoke Steering Wheel","Heated Seats","Original Owner","Factory Literature","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","20-Years-Owned 1950 Studebaker Champion Convertible","https://bringatrailer.com/listing/1950-studebaker-champion-2/","Sold for $20,000 on 3/25/20","Location: Indianapolis, Indiana 46205","Chassis: G671928","300 Miles Shown, TMU","Rebuilt 170ci Inline-Six","Automatic Transmission","Refinished in Metallic Green","Cloth and Vinyl Interior","Black Convertible Top","Refurbished Factory Radio","Replacement Wiring Harness","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","Original-Owner 1990 BMW M3","https://bringatrailer.com/listing/1990-bmw-m3-42/","Sold for $53,500 on 3/25/20","Location: Fresno, California 93711","Chassis: WBSAK0317LAE33747","114k Miles Shown, TMU","2.3-Liter S14 Inline-Four","Five-Speed Manual Transmission","Limited-Slip Differential","Sterling Silver Metallic","Silver Leather","15"" Basketweave Wheels","Sunroof","Cruiser Control","Books and Manual","Window Sticker","Original Owner","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","431-Mile 2005 Ford GT","https://bringatrailer.com/listing/2005-ford-gt-13/","Bid to $272,000 on 3/25/20","Location: Vero Beach, Florida 32960","Chassis: 1FAFP90S45Y400959","431 Miles Shown","Supercharged 5.4L DOHC V8","Six-Speed Manual Transaxle","Limited-Slip Differential","Mark IV Red over Ebony Leather","White Racing Stripes","Forged Alloy Wheels","Red Painted Brake Calipers","McIntosh Stereo","Window Sticker","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","1"
"","1988 Alfa Romeo Spider Graduate","https://bringatrailer.com/listing/1988-alfa-romeo-spider-17/","Sold for $19,000 on 3/24/20","Location: Laguna Niguel, California 92677","Chassis: ZARBA5641J1062733","43k Miles Shown","2.0L Twin-Cam Inline-Four","5-Speed Manual Transmission","Red over Black Vinyl","Replacement Soft Top","Aftermarket Wheels","Window Sticker","Service Records from 2009","Owner's Manual","Manufacturer's Literature","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","2004 BMW M3 Coupe","https://bringatrailer.com/listing/2004-bmw-m3-coupe-66/","Sold for $18,500 on 3/24/20","Location: Houston, Texas 77004","Chassis: WBSBL93424PN58750","98k Miles Shown","3.2-Liter S54 Inline-Six","6-Speed Manual Gearbox","Limited-Slip Differential","Titanium Silver Metallic/Grey Leather","19"" Wheels","Heated Seats","Recent Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","2006 Mercedes-Benz S65 AMG","https://bringatrailer.com/listing/2006-mercedes-benz-s65-amg-20/","Sold for $22,000 on 3/24/20","Location: Doylestown, Pennsylvania 18901","Chassis: WDBNG79J96A472849","77k Miles","Twin-Turbocharged 6.0L V12","Five-Speed Automatic Transmission","Brilliant Silver Metallic","Charcoal Exclusive Nappa Leather","VMI Report","Clean Carfax Report","Private Party or Dealer: Dealer","","","","","","","","","","","","","","","1"
"","1950 Chevrolet 3600 Pickup","https://bringatrailer.com/listing/1950-chevrolet-pickup/","Sold for $18,000 on 3/24/20","Location: Hastings, Nebraska 68901","Chassis: 5HRD5164","90k Miles Shown, TMU","235ci Inline-Six","Four-Speed Manual Transmission","3.55:1 Rear Differential","12-Volt Conversion","Repaint in Cream","Wood-Lined Bed","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","1"
"","Sand Yellow 2012 Porsche Cayenne Turbo","https://bringatrailer.com/listing/2012-porsche-cayenne-turbo-6/","Sold for $46,750 on 3/24/20","Location: North Salem, New York 10560","Chassis: WP1AC2A21CLA83561","26k Miles Shown","Turbocharged 4.8-Liter V8","Eight-Speed Tiptronic Automatic Transmission","All-Wheel Drive","Sand Yellow/Cognac & Espresso Leather","21"" Wheels w/Michelin Tires","Sport Design Package","Premium Package Plus","Adaptive Cruise Control","Lane Change Assist","Thermal Insulated Glass","Sun Shades","Heated & Ventilated Seats","Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","1"
"","No Reserve: 1989 Porsche 928 S4","https://bringatrailer.com/listing/1989-porsche-928-s4-38/","Sold for $11,250 on 3/24/20","Location: Frisco, Texas 75035","Chassis: WP0JB0925KS860745","160k Miles Shown","5.0-Liter V8","4-Speed Automatic Transmission","Guards Red","Beige Leather Interior","17"" Carrera Cup Wheels","Alpine Head Unit","Heated/Power Front Seats","Tinted Windows","Timing Belt & Water Pump Replaced","Steering Rack Refurbished","Window Sticker","Service Records","Porsche CoA","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","1"
"","13k-Mile 2006 Pontiac GTO 6-Speed","https://bringatrailer.com/listing/2006-pontiac-gto-19/","Sold for $21,000 on 3/24/20","Location: Trabuco Canyon, California 92679","Chassis: 6G2VX12U56L812822","13k Miles Shown","6.0-Liter LS2 V8","6-Speed Manual Transmission","Limited-Slip Differential","Cyclone Gray Metallic","Black Leather","Dealer-Installed Suspension Upgrades","Sport Appearance Grilles","JHP Auxiliary Gauges","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","1982 BMW 320i","https://bringatrailer.com/listing/1982-bmw-320i-26/","Sold for $13,250 on 3/24/20","Location: Niles, Michigan 49120","Chassis: WBAAG330XC8051229","91k Miles Shown","1.8-Liter Inline-Four","5-Speed Manual Transmission","Repainted Chestnut Red","Rechromed Euro Bumpers","Hartge Front Spoiler in 2015","Reupholstered Sport Seats","Replacement Clutch & Aluminum Flywheel","Ansa Exhaust","Aftermarket Stereo","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","No Reserve: Fuchs 15×8″ and 9″ Wheels for Porsche","https://bringatrailer.com/listing/porsche-fuchs-16/","Sold for $3,950 on 3/24/20","Location: Madill, Oklahoma 73446","Part Numbers: 911.361.020.12 and 911.361.020.03","Set of Four 15"" Fuchs Wheels","8"" and 9"" in Width","Manufactured in 1976 and 1977","Refinished","Polished Lips","Black Centers and Barrels","Center Caps Included","Private Party or Dealer: Dealer","","","","","","","","","","","","","","","1"
"","1988 Rolls-Royce Silver Spur","https://bringatrailer.com/listing/1988-rolls-royce-silver-spur-4/","Sold for $16,000 on 3/24/20","Location: Costa Mesa, California 92627","Chassis: SCAZN02A3JCX22858","31k Miles Shown","6.75-Liter V8","3-Speed Automatic Transmission","Ivory over Matching Connolly Leather","Longterm Hawaii Registration","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","","1"
"","1964 Porsche 356C","https://bringatrailer.com/listing/1964-porsche-356c-27/","Sold for $59,400 on 3/24/20","Location: Fresno, California 93730","Chassis: 127603","Reutter-Bodied Coupe","Sold New in Germany","800 Kilometers Shown, TMU","Original 1,582cc Flat-Four","Original Four-Speed Manual Gearbox","Light Ivory over Red Leatherette","Luggage Rack","Becker Grand Prix Radio","Spare Parts","Owner's Manuals","Porsche Certificate of Authenticity","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","1949 Willys Jeepster","https://bringatrailer.com/listing/1949-willys-jeepster-12/","Bid to $8,200 on 3/24/20","Location: East Gwillimbury, Ontario, Canada","Chassis: VJ313145","5k Miles Shown, TMU","134ci Inline-Four","3-Speed Manual Transmission","Repainted Blue & White","Blue Vinyl Interior","Replacement Canvas Top Included","Steel Wheels w/Later Jeep Hubcaps","Spare Wheels and Caps","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","No Reserve: 48k-Mile 1989 Buick Reatta","https://bringatrailer.com/listing/1989-buick-reatta-3/","Sold for $5,500 on 3/24/20","Location: Garner, North Carolina 27529","Chassis: 1G4EC11C3KB900499","48k Miles Shown","3.8-Liter V6","Four-Speed Automatic Transmission","Bright Red over Tan Leather","Pop-Up Headlights","Electronic Control Center","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","1"
"","2005 Mercedes-Benz SL600","https://bringatrailer.com/listing/2005-mercedes-benz-sl600-12/","Sold for $21,000 on 3/24/20","Location: Doylestown, Pennsylvania 18901","Chassis: WDBSK76F25F088608","84k Miles","Twin-Turbocharged 5.5L V12","5-Speed Automatic","Black over Charcoal Exclusive Leather","Heated and Ventilated Seats","Tinted Windows","Panoramic Retractable Hardtop","VMI Report","Clean Carfax Report","Private Party or Dealer: Dealer","","","","","","","","","","","","","1"
"","49k-Mile 2002 Porsche 911 Carrera Coupe 6-Speed","https://bringatrailer.com/listing/2002-porsche-911-carrera-49/","Bid to $22,000 on 3/24/20","Location: Riverside, California 92508","Chassis: WP0AA29932S620766","49k Miles Shown","3.6-Liter Flat-Six","Six-Speed Manual Gearbox","Seal Grey Metallic","Graphite Grey Leather Interior","Power-Adjustable Front Seats","Sunroof","Xenon Headlights","18"" Turbo-Look Wheels","Blackstone Oil Analysis","Partial Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
